text,source_label,label
what adam said about trudeau is exactly how view adam and what would say about him as well,Negative,Negative
hope they dont forget about china move our assets towards russia and leave our china side open,Negative,Negative
use oil with low smoke point for seasoning like flaxseed same result but much faster,Negative,Negative
while understand this is well below actually the bare minimum of what trump should get and would much prefer he get an actual punishment this does give me some sliver of joy to know trump is freaking out so much about being sentenced at all hopefully nothing does prevent him being sentenced tomorrow in this upsidedown world its these little victories that help keep me sane and you guys thank you so much brian and glen,Positive,Positive
hey brad im teacher by occupation but recently decided to get serious about learning web dev your videos have been incredibly helpful and inspiring you have way about you my friend very clearly passionate about helping people learn and very comfortable in your expertise good teacher stock if may offer piece of advicerequest watching the videos there are spots where find myself wondering about your reasons behind certain decisions when coding or the thinking that goes into it as learner who is fairly comfortable with the syntax of html and css could benefit lot more from you regularly stating explicitly your strategy or reasons for the decisions you make more highlevel commentary in addition to the regular discussion of the lowlevel coding minutiae as an example that happened to be playing when paused the video to write this you showed how to reset the margins and padding for all elements but then you commented that code out why wouldnt you want that zeroedout baseline with all elements when you start in on page seems to me you eliminate lot of potential confusion by doing this or is it the case that you do reset when developing and you wanted to keep elements in default styling for the purposes of this video stuff like that know what mean know you already do that in the course of demonstrating but maybe just friendly reminder to do even more of it or maybe you wanna do video from this perspective you know code site but as youre doing it comment more on various highlevel strategic or workflow or convention or best practices considerations and related advice you can offer based on your experience as im writing im realizing im kind of asking you to teach the kind of stuff you only get with expertise but take what you will from this maybe it helps your thinking in future videos hope ive made myself clear its late here anyway love what you do best wishes and keep em coming,Neutral,Neutral
the only way that you can clear yourself of the racist drippings that have adhered to you is by taking diversity course from robin diangelo xd hahahahahah,Positive,Positive
happy to say watched it live,Positive,Positive
this whole situation is terribly depressing they were all once friends or at least acquaintances nowadays theres no respect for anybody confused face,Negative,Negative
he has courage because west supplies them the weapons and the global community supports them it makes difference,Neutral,Neutral
what dies she do to use the bathroom,Neutral,Neutral
the only fraud in this whole election is trump,Positive,Positive
god how boring we really have run out of ideas,Negative,Negative
love writing go in production do not enjoy using it for interviews in my experience the interviews that work well for go are nondsa practical interview questions and language specific go questions dont get me started about working with dequeues or priority queues its pain in go,Neutral,Neutral
bergvall on top of the world sweden blue heart,Positive,Positive
fuck ya that was the best dive ever face with tears of joy,Positive,Positive
sir bhohaat bhohaat thank you for backend actually wanted to learn backend first than frontend after javascript usually in your lco courses you always starts with backend and then frontend very excited sir thayou folded hands and sir great project folded hands folded hands,Positive,Positive
cant thank you enough love from nigeria red heart,Positive,Positive
the media acted just like school children and thats how she treated them she was their teacher,Positive,Positive
ben may be wrong here but dont think this show was necessarily procommunism its just an entertaining plot for an unrealistic show,Neutral,Neutral
so happy to see cenk on cnn again way to go tyt brett thanks for clearly explaining marginal tax rates for those who dont understand and yes we need to revive antitrust law keep up the great work yall fan of tyt since cenk anas days on msnbc the progressive rise is real sun with face peace all,Positive,Positive
frontman betrayed his friend that makes me cry loudly crying face loudly crying face loudly crying face loudly crying face,Negative,Negative
did you got motivated by the bills you need to pay for nearly killing your best friend,Negative,Negative
told you when you initially built it that manifold is garbage,Negative,Negative
love seeing these shows,Positive,Positive
the pokmon are too busy grieving for you to encounter them,Neutral,Neutral
its nice to win one once in while,Positive,Positive
people dont realize how light some corvettes are and especially with the larger engines under boost they become real monsters,Positive,Positive
lost none of its charm still lovely,Positive,Positive
wow those rover cameras are amazingly clear,Neutral,Neutral
recall hearing that the individual was related to elijah as his brother,Neutral,Neutral
keane and stam going at together skull,Neutral,Neutral
now thats how you treat your cars,Positive,Positive
the video thumbs up the musicbro doors elevator skull,Neutral,Neutral
well have to fact check that well if shed taken history lesson she wouldnt need to fact check it ffs,Positive,Positive
so much chemistry between these two could feel it through the video,Positive,Positive
ive heard the recordings where she admits to hitting him and then belittles him and makes of him for getting upset about it battered woman wouldnt do that they would be afraid of their attacker and definitely not trying to egg him on,Negative,Negative
lets hope theres may th,Neutral,Neutral
its awesome to see how other people live around the world siberians crack open hole in frozen tundra to find fish just walk to the supermarket and buy it interestingly both ways are hugely different but both tactics yield the same result fish for dinner humans are all the same regardless of our individual situations,Positive,Positive
is it possible to deploy an application using django,Neutral,Neutral
so have to say itsometimes violence is indeed the answer smug smile wouldve gotten knocked to the back of her head,Negative,Negative
this is awful,Negative,Negative
we just need to go digital consciousnesses all uploaded into supercomputer,Neutral,Neutral
can anyone give good website that is completely free and coding platform that works on learning using projects starting with basic projects and moving upwards,Neutral,Neutral
fluffy puppy little puppy teddy bear dog face,Positive,Positive
my favorite running back growing up he was ripping it on and off the field was sad when he was out the league,Positive,Positive
you guys are all blind those videos are clearly different,Negative,Negative
thats very sick stuff,Negative,Negative
got inspired to take my arabic lessons seriously hes just so good,Positive,Positive
public sentiment is heaven and gods justice and judgment are love heart suit,Neutral,Neutral
whats controversial about the song its the truth moos,Positive,Positive
danielle smith for prime minister,Positive,Positive
thats what happens when you face bumrah for tests,Negative,Negative
another useless tedx talk slightly smiling face,Negative,Negative
as someone who drives little vw polo even in such small car the difference is felt in braking when compared to korean or japanese equivalent small cars it gives confidence of another level,Positive,Positive
times better than my collage,Positive,Positive
hes so cute and kind,Positive,Positive
this literally happened today lolol,Positive,Positive
is it frames per second or hertz,Neutral,Neutral
imagine that the effects are well engineered and there are some nice shows of awareness of the pretentiousness in illusionism dont know if he wrote his own lines when he was younger but the dryness is great because hes american he waits for far far too long after joke to continue speaking but otherwise decent enough the thing is its still only really an illusionism show as while he addresses inattentional blindness and the cognitive weaknesses of humans he still does not teach us what perceptually in each instance exactly made the tricks possible as such its just magic show with bit of dry patter not revealing lesson on the deficiencies of the perceptions of humans,Neutral,Neutral
its always the cops that look like they got their uniforms at halloween store,Neutral,Neutral
dump is making mockery of this whole country felon should not be president,Negative,Negative
they got what,Neutral,Neutral
isnt she driving with the ebrake on im confused didnt think the car would move with that on dont drive so im actually asking,Negative,Negative
cool robot but its effectiveness will be limited due to router range issues,Negative,Negative
like the concluding part of his talk very insightful,Positive,Positive
clean was clean beaming face with smiling eyes,Positive,Positive
never trust anything dwayne johnson says these days renowned liar,Negative,Negative
watching this at speed smiling face with sunglasses learning python in just minutes rolling on the floor laughing,Neutral,Neutral
zaldy co am on your side hahaha,Neutral,Neutral
error the origin server did not find current representation for the target resource or is not willing to disclose that one exists,Negative,Negative
aray suraj bhaya driving time aagay dekha kro beech beech mai tou aap stearing he chodh dete ho face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy,Negative,Negative
that grating voice hes hero putting up with that,Negative,Negative
camera will go right through the helmet if he crashes at the end of the day its his own life so let him be after citing him if its law,Neutral,Neutral
glad she got it out before the guy hit that face with tears of joy face with tears of joy face with tears of joy,Positive,Positive
my workplace has security cameras both inside and outside my manager informed me after hiring me that employees dislike being recorded because some previous staff members were making tiktok videos at work when he mentioned the office and shop staffs discomfort with recording responded with thats unfortunate because theyre under surveillance the entire time theyre on company premises so remove the cameras if you are aware they dont like it,Negative,Negative
when the cells remain stationary we recognize their advanced intelligence we understand they are establishing civilization and we anticipate their engagement in warfare,Neutral,Neutral
he was just klaus swab puppet anyway and everyone knows it right,Negative,Negative
ukraine people remarkable bravery and resilience in the face of senseless invasion my utmost respect and prayer for peace,Positive,Positive
need to slow down kazavtozhol should be held responsible the traffic rules state to reduce speed when the road is slippery,Negative,Negative
that dog really pulled up in the mercedes benz,Neutral,Neutral
sounds like garbage do some research on exhaust systems before committing to anything,Negative,Negative
