text,label_annotator_1,label_annotator_2,gold_label,is_disputed
"Seriously, you would become the main course for Christmas dinner. 😭",Neutral,Neutral,Neutral,no
That’s actually really good,Positive,Positive,Positive,no
Me and my btother we will defent our selfs,Positive,Positive,Positive,no
That is one RADICAL steering setup!!! TOTALY BONKERS… Love Fiolas desire to progress even to this day… what an athlete!😎🤙🏽,Positive,Positive,Positive,no
"Lolz at the host commentary that L'oreal piece isn't about telling you what to buy, but what not to buy (from L'oreal portfolio). And then conclude with she's going to buy retinol... What?",Negative,Negative,Negative,no
This would have been helpful for a computer science project I was working on seven months ago 😂,Positive,Positive,Positive,no
a little to basic. why can't i inherit classes when the order is switched?,Neutral,Negative,,yes
Tom’s “oh boy…” truly shows how chaotic sonic is,Neutral,Neutral,Neutral,no
What about wasted water?,Neutral,Neutral,Neutral,no
"Elon can get away with almost anything, but not when it comes to video games. Gamers will always call out that kind of stuff.",Neutral,Neutral,Neutral,no
The dude unintentionally brought back childhood trauma from the movie The Neverending Story.,Positive,Negative,,yes
Another great video. Lovely Rolls Royce. Great presentation by everyone. Absolutely love the Autoalex multiverse.,Positive,Positive,Positive,no
whats the name of the movie/show ?,Neutral,Neutral,Neutral,no
The will of The People will be heard eventually - its just a matter of how much damage Turdeau wants to do to the country first.,Negative,Negative,Negative,no
"It’s sad, seems like Tony and the old man really hit it off. Sometimes you just meet people you not only click with, but you have surprisingly a lot of respect for. One of the real good ones.",Positive,Positive,Positive,no
We live in dystopia!,Neutral,Negative,,yes
Can i use this with Vue.js?,Neutral,Neutral,Neutral,no
How can she take the broach back and then lie about it like that....LMFAO,Negative,Negative,Negative,no
Thank you mam. Really best video,Positive,Positive,Positive,no
"He started off so smug, Julia slapped that right off his face.",Negative,Negative,Negative,no
Bros took “uptown downtown” too literally.,Neutral,Neutral,Neutral,no
This is too difficult D: I kindaaaa understood the stuff up to 2.5 and now this :<,Neutral,Negative,,yes
Yes❤❤❤❤😊😊😊,Positive,Positive,Positive,no
"Yeah, I mean. It's funny here, but no one's that stupid.And this isn't real",Negative,Negative,Negative,no
"Fun Fact: As a passionate Football ⚽️ enthusiast, I recall that in 2010, after their team's defeat, North Korean television didn't broadcast the loss. Instead, they fabricated stories of other teams losing by scores of 7-0 and 11-0, falsely claiming that Portugal won the World Cup. Therefore, according to North Korean media, Portugal emerged victorious in the World Cup that year.",Neutral,Neutral,Neutral,no
I'm a fan of the British accent.,Positive,Positive,Positive,no
You sound somewhat like Daily dose of internet.,Positive,Positive,Positive,no
Really wanted this video and you have maded it . Thank you ♥️,Positive,Positive,Positive,no
But datatype toh int tha aur printf mein string toh error ana chaiye na,Neutral,Neutral,Neutral,no
Would love to see more of this,Positive,Positive,Positive,no
It’s destructive. Single life is better than the feeling of being unwanted and neglected.,Negative,Negative,Negative,no
She is a youtuber❤,Positive,Positive,Positive,no
"Hi mosh, Can you please tell me the theme name, Thank you",Neutral,Neutral,Neutral,no
"I am so very proud of these two brave and strong women who are very articulate and eloquent in their message. They have the true American spirit, and we need to give people like these our full support whether you are Hispanic or Latin or not. I am neither, but I love brave people like these women who stand up for the right things in life and are proud of their country. They want to stop bad things happening to our country and make it a great place to live and raise their children. They know how the policies of the Democrats can hurt our country because they have either run away from countries that had those policies or have parents and grandparents who did. I wish them the best and look forward to them being members in our congress very soon.",Positive,Positive,Positive,no
"Thank you for the video, really well done. Although, I must say for Retool, I think it would be better to the admin panel by yourself. You will learn a lot by doing so. If someone is trying to build a web app with Django, it's impossible that they aren't programmers.",Positive,Positive,Positive,no
"regarding the initial run, the result is: 90.46 second run : 90 third run : 90",Neutral,Neutral,Neutral,no
Oa kayo sa Kasing laki ni Lolong,Neutral,Neutral,Neutral,no
Guy uses duct tape and blames product…,Negative,Negative,Negative,no
AS a fireman I can tell you what happened to those poor souls. With an explosion like that which I liken to a nuclear bomb or a volcanic eruption they would have been vaporized. Happily if you can call it that they never saw it coming and never knew it hit. May they rest in peace and may their families rest in knowing they were doing what they loved to do,Positive,Positive,Positive,no
He is also very handsome 🤍,Positive,Positive,Positive,no
"nice topic chosen wisely 👌🏻, I actually understood you about 70 percent but something is better than nothing.",Positive,Positive,Positive,no
Kid watched *'Taxi Driver'* 1 too many times 😂,Neutral,Neutral,Neutral,no
I am from 2025,Neutral,Neutral,Neutral,no
"As we know Trump tells a lot of lies, his knowledge of thus war us limited! Trumps mouth moves without any facts, just what sounds good to him! Trump is a Putin supporter, friend making Trump bias for Putin, or should I say Putin is one if Trumps heroes, once Trump is in full power as President you will see Trump throw his full support behind Putin!😢",Negative,Negative,Negative,no
Good video 🎉🎉 Thank you.,Positive,Positive,Positive,no
You way smarter than other mean looking lady. Thank you! Fox News! God Bless USA! Slava Ukraini!,Positive,Positive,Positive,no
Ok this is useful.,Positive,Positive,Positive,no
I love the look on Kat's face anytime Greg calls on her. 😆,Positive,Positive,Positive,no
I wish waffles were the subject after Black Lives Matter protests,Negative,Negative,Negative,no
Depends on the temp and amount of vapors whether it lights or not.,Neutral,Neutral,Neutral,no
"The man prepared a top-tier, exquisite dish 💫😐😎💔😍💫😎😍😭🥺🥵👍😭😍😅😈😏😎🧢😡😋😡🤸😐💫😁🤮🥶😋🥲l",Positive,Positive,Positive,no
"Putting tariffs on Canadian goods, puts America second, not first.",Neutral,Negative,,yes
Captain knuckles fr crazy shit,Neutral,Neutral,Neutral,no
"We need real bikers, not some rich, spoiled kid.",Negative,Negative,Negative,no
"They are standing there filming, they should have run and removed those people, why are you so stupid?",Positive,Negative,,yes
"Mosh this is what i intuitively came up for removeLast method public void removeLast(){ if (isEmpty()){ throw new IllegalStateException(""cannot remove item from empty list""); } if (first==last){ first=last=null; return; } var i=first; while (i.next!=last){ i=i.next; } i.next=null; last=i; } Any reason why my code might not be optimal?",Neutral,Neutral,Neutral,no
"i am a skinner, who's probably gonna skin again",Positive,Neutral,,yes
"""AIGHT BET""",Positive,Positive,Positive,no
Finally I wrote my first React app. Thanks sir. Good tutorial and explanation.,Positive,Positive,Positive,no
I can’t believe they put the power button on the front 😂,Positive,Positive,Positive,no
"Never in my wildest dreams as a kid did I imagine I would live to see ninjas being accepted in America. But now... I can truly become... the great white American ninja, with the assistance of my brother Gobei and my best friend Curtis Jackson.",Positive,Positive,Positive,no
She even seems happy it's over,Positive,Positive,Positive,no
Speed really messed up he just embarrassed his self in front of Korean girls,Negative,Negative,Negative,no
*Don’t expect relationships to make you happy.* Make yourself happy!,Positive,Positive,Positive,no
"why can we do this? @classmethod def merge_k_sorted_list(cls, list_of_sorted_list): if not list_of_sorted_list: return while len(list_of_sorted_list) > 1: list_of_sorted_list.append(cls.merge_sorted_list(list_of_sorted_list.pop(), list_of_sorted_list.pop())) return list_of_sorted_list[0]",Neutral,Neutral,Neutral,no
Llore viendo este video 🤧 gracias por existir MrBeast,Positive,Positive,Positive,no
That's what I would do and that's what my mom would have said,Positive,Positive,Positive,no
"Freedom of choice. As long as there is risk, there should be a choice. My body - my choice. Dr. Malone's speech in DC was awesome. globalcovidsummit",Positive,Positive,Positive,no
"Judge, those are the feelings of the majority of Americans... thanks for letting out for us, God bless you 🙏",Positive,Positive,Positive,no
Meadow was always hot asl,Positive,Positive,Positive,no
With the hair growth- Rogaine and Red Light… are they a lifelong sentence? Or once your hair starts growing you are good to go without them.,Negative,Neutral,,yes
maa kasam mood sahi ho jata hai aapki javascript ki series padh ke🙏,Positive,Positive,Positive,no
No he won’t bro hell be in jail jo and wishing he didn’t do this shit,Negative,Negative,Negative,no
didi pls make a video on college freshers what to learn as side hustle and where do we get resources in detail,Positive,Positive,Positive,no
That dad wasn’t laughing he was crying,Negative,Negative,Negative,no
"What the heck?! Why did you move like that?! You got beat by Karen, dude, that's way worse!",Negative,Negative,Negative,no
"Thanks for the new course. However, one topic is still missing: video streaming. Could you please create another course on how to manage, sell, and authenticate video content on the web? I'm looking forward to it...",Positive,Positive,Positive,no
Bro that sound of your window scratch my Brain,Neutral,Neutral,Neutral,no
Great job.. Please Start complete video series on node KS as back-end technology..,Positive,Positive,Positive,no
"You made a blindman see. Thanks, a 10^6 times!",Positive,Positive,Positive,no
Sir you are good Man ❤❤ love you ❤❤❤,Positive,Positive,Positive,no
Like a super Sunday game how do the teams match up against each other 🙄 absolute madness,Positive,Positive,Positive,no
