text,label,text_raw,text_classical,text_transformer,VideoID,VideoTitle,PublishedAt,CountryCode,CategoryID
"Hey Will, I have been a subscriber from the very beginning. I really appreciate all of your informative videos. I actually learned how to hook up a solar system thanks to you. I bought your book a couple years ago, and I'm so happy I did. It is filled with a wealth of knowledge. Thanks for everything buddy thumbs up",Positive,"Hey Will, I have been a subscriber from the very beginning. I really appreciate all of your informative videos. I actually learned how to hook up a solar system thanks to you. I bought your book a couple years ago, and I'm so happy I did. It is filled with a wealth of knowledge. Thanks for everything buddy 👍",hey will have been subscriber from the very beginning really appreciate all of your informative videos actually learned how to hook up solar system thanks to you bought your book couple years ago and so happy did it is filled with wealth of knowledge thanks for everything buddy thumbs up,"Hey Will, I have been a subscriber from the very beginning. I really appreciate all of your informative videos. I actually learned how to hook up a solar system thanks to you. I bought your book a couple years ago, and I'm so happy I did. It is filled with a wealth of knowledge. Thanks for everything buddy thumbs up",9Mp7C2iCKS0,"Wattcycle 12V ""300Ah"" Battery: Popular Budget Battery Falsely Advertised?!",2025-01-08 21:51:07,AU,28
Yhen wot do wifi headfones do,Neutral,Yhen wot do wifi headfones do,yhen wot do wifi headfones do,Yhen wot do wifi headfones do,KZSZB6fcCvM,Do We Need to Worry About Our Electronics?,2025-01-09 19:46:12,US,28
"It's easy to log in to YouTube, but there isn't an option to log out.",Negative,"It's easy to log in to YouTube, but there isn't an option to log out.",it easy to log in to youtube but there isn an option to log out,"It's easy to log in to YouTube, but there isn't an option to log out.",PeAEHNWjNXM,Did you know why apps do this?,2025-02-02 11:52:11,IN,27
first 15 minutes and its validating how much I actually know how to code. so much new info too! thank you very much!,Positive,first 15 minutes and its validating how much I actually know how to code. so much new info too! thank you very much!,first minutes and its validating how much actually know how to code so much new info too thank you very much,first 15 minutes and its validating how much I actually know how to code. so much new info too! thank you very much!,E3XxeE7NF30,Learn JavaScript With This ONE Project!,2024-02-23 03:54:06,US,27
"""Keep your voice down please"" said Trump ""calmly"". He legit did tho.",Positive,"""Keep your voice down please"" said Trump ""calmly"". He legit did tho.",keep your voice down please said trump calmly he legit did tho,"""Keep your voice down please"" said Trump ""calmly"". He legit did tho.",5c3wWNsmLA0,’Keep your voice down’: Trump berates female reporter when questioned over Covid-19 response,2020-11-08 10:02:55,GB,25
"It is said that insurance companies already canceled clauses on compensation for weather conditions ( hurricanes,floods,fires) yesterday. It's true?",Neutral,"It is said that insurance companies already canceled clauses on compensation for weather conditions ( hurricanes,floods,fires) yesterday. It's true?",it is said that insurance companies already canceled clauses on compensation for weather conditions hurricanes floods fires yesterday it true,"It is said that insurance companies already canceled clauses on compensation for weather conditions ( hurricanes,floods,fires) yesterday. It's true?",O_1GrgnzwEY,What California residents found after fires ravaged their homes in Los Angeles County,2025-01-09 23:07:49,US,25
"People like this are amazing, posting incredible tutorials for free. Bless you man.",Positive,"People like this are amazing, posting incredible tutorials for free. Bless you man.",people like this are amazing posting incredible tutorials for free bless you man,"People like this are amazing, posting incredible tutorials for free. Bless you man.",Kmgo00avvEw,Java GUI: Full Course ☕ (FREE),2021-01-13 03:50:14,CA,27
Eddie being a true Mexican,Neutral,Eddie being a true Mexican,eddie being true mexican,Eddie being a true Mexican,KyR0m_xrsB0,I Actually Escaped My BAD Parents!,2025-01-09 22:43:24,NZ,20
That's the 2nd time you DQ'd Dunkin and it's the same item as the first time you did face with tears of joy,Neutral,That's the 2nd time you DQ'd Dunkin and it's the same item as the first time you did 😂,that the nd time you dq dunkin and it the same item as the first time you did face with tears of joy,That's the 2nd time you DQ'd Dunkin and it's the same item as the first time you did face with tears of joy,uYVu8LbLBU8,Which Drive Thru Has the Healthiest Item?,2025-01-04 01:19:11,US,26
Joe rogan is a fool,Negative,Joe rogan is a fool,joe rogan is fool,Joe rogan is a fool,l6uPONsAO74,Trump HUMILIATES Joe Rogan ALREADY! | The Kyle Kulinski Show,2024-11-19 16:44:41,US,25
When will you be posting the next video for the HTML CSS coding challenge?,Neutral,When will you be posting the next video for the HTML CSS coding challenge?,when will you be posting the next video for the html css coding challenge,When will you be posting the next video for the HTML CSS coding challenge?,gDOKSgqM-bQ,Complete MongoDB Tutorial #2 - Installing MongoDB,2025-02-05 02:42:40,GB,27
thank u so much sir,Positive,thank u so much sir,thank so much sir,thank u so much sir,xAvTgCsCHLs,How to create a new element in DOM | chai aur #javascript,2024-10-28 05:00:42,IN,27
Marvel does acknowledge the death the heroes cause just not even close the level DC does. Dc is way better. They should put Thor in the universe,Neutral,Marvel does acknowledge the death the heroes cause just not even close the level DC does. Dc is way better. They should put Thor in the universe,marvel does acknowledge the death the heroes cause just not even close the level dc does dc is way better they should put thor in the universe,Marvel does acknowledge the death the heroes cause just not even close the level DC does. Dc is way better. They should put Thor in the universe,0h6VobYuio4,Ben Shapiro Reviews Zack Snyder's Justice League!,2023-01-09 15:35:45,US,25
"Good heavens, why are all the subtitles writing ""break test""? It's BRAKE TEST; you're testing the BRAKES, not the point at which the car BREAKS (which wouldn't make sense).",Negative,"Good heavens, why are all the subtitles writing ""break test""? It's BRAKE TEST; you're testing the BRAKES, not the point at which the car BREAKS (which wouldn't make sense).",good heavens why are all the subtitles writing break test it brake test you re testing the brakes not the point at which the car breaks which wouldn make sense,"Good heavens, why are all the subtitles writing ""break test""? It's BRAKE TEST; you're testing the BRAKES, not the point at which the car BREAKS (which wouldn't make sense).",O-C2I2XpeaI,Lambo Huracan v Porsche 911 GT3 RS: DRAG RACE,2025-02-04 08:23:20,NZ,2
Oh no I would never hate you for the title. I merely hate you for your obnoxious overacting.,Negative,Oh no I would never hate you for the title. I merely hate you for your obnoxious overacting.,oh no would never hate you for the title merely hate you for your obnoxious overacting,Oh no I would never hate you for the title. I merely hate you for your obnoxious overacting.,llnf3Vnzcxs,The M4 Mac Mini is dead to me - Minisforum at CES 2025,2025-01-11 16:54:23,CA,28
What's the cause of the fire?,Neutral,What's the cause of the fire?,what the cause of the fire,What's the cause of the fire?,uQQIXrOjSag,Firefighters Drop Water DIRECTLY On Specific Homes!,2025-02-05 05:05:37,PH,25
Sorry. Who made fault firstly.,Neutral,Sorry. Who made fault firstly.,sorry who made fault firstly,Sorry. Who made fault firstly.,Y0qMkfycy_o,Flash floods cause havoc in Europe,2023-08-04 11:32:09,GB,25
