text,label,text_raw,text_classical,text_transformer
I HATE YOU BECAUSE YOU'RE ALLERGIC TO DOGS OR PUPPIES,Negative,I HATE YOU BECAUSE YOU'RE ALLERGIC TO DOGS OR PUPPIES,hate you because you re allergic to dogs or puppies,I HATE YOU BECAUSE YOU'RE ALLERGIC TO DOGS OR PUPPIES
Don't agree that are as many jobs in programming now. There seems to have been a mini recession after the pandemic. I've found it much more difficult to land a job despite being much more experienced than before. I've also heard some companies are putting off hiring new developers and seeing if there existing developers and chatgpt can do that work.,Negative,Don't agree that are as many jobs in programming now. There seems to have been a mini recession after the pandemic. I've found it much more difficult to land a job despite being much more experienced than before. I've also heard some companies are putting off hiring new developers and seeing if there existing developers and chatgpt can do that work.,don agree that are as many jobs in programming now there seems to have been mini recession after the pandemic ve found it much more difficult to land job despite being much more experienced than before ve also heard some companies are putting off hiring new developers and seeing if there existing developers and chatgpt can do that work,Don't agree that are as many jobs in programming now. There seems to have been a mini recession after the pandemic. I've found it much more difficult to land a job despite being much more experienced than before. I've also heard some companies are putting off hiring new developers and seeing if there existing developers and chatgpt can do that work.
Finally Someone Coming up with Typescript red heart,Positive,Finally Someone Coming up with Typescript ❤️,finally someone coming up with typescript red heart,Finally Someone Coming up with Typescript red heart
Hasbro & Wizard of the Coast missed the train to make a badass vampire adventure RPG based on Ravenloft,Neutral,Hasbro & Wizard of the Coast missed the train to make a badass vampire adventure RPG based on Ravenloft,hasbro wizard of the coast missed the train to make badass vampire adventure rpg based on ravenloft,Hasbro & Wizard of the Coast missed the train to make a badass vampire adventure RPG based on Ravenloft
It was destiny for these guys to meet in battle for us to see. Pretty fair trilogy,Positive,It was destiny for these guys to meet in battle for us to see. Pretty fair trilogy,it was destiny for these guys to meet in battle for us to see pretty fair trilogy,It was destiny for these guys to meet in battle for us to see. Pretty fair trilogy
He's not careful enough with his actions.,Negative,He's not careful enough with his actions.,he not careful enough with his actions,He's not careful enough with his actions.
Your cadence and entire way of speaking is so irritating,Negative,Your cadence and entire way of speaking is so irritating,your cadence and entire way of speaking is so irritating,Your cadence and entire way of speaking is so irritating
"“Mr President, the mothership is here”",Neutral,"“Mr President, the mothership is here”",mr president the mothership is here,"“Mr President, the mothership is here”"
Sagor Age: 20 yrs Starting date: 23 December. All the best to myself.,Neutral,Sagor Age: 20 yrs Starting date: 23 December. All the best to myself.,sagor age yrs starting date december all the best to myself,Sagor Age: 20 yrs Starting date: 23 December. All the best to myself.
Some people just need to go back to the sound it out method they learned in elementary school,Neutral,Some people just need to go back to the sound it out method they learned in elementary school,some people just need to go back to the sound it out method they learned in elementary school,Some people just need to go back to the sound it out method they learned in elementary school
"""Hello Salmon"" ""Oh hi Dancing-Salmon"" ""How's your day Salmon-Dream""",Neutral,"""Hello Salmon"" ""Oh hi Dancing-Salmon"" ""How's your day Salmon-Dream""",hello salmon oh hi dancing salmon how your day salmon dream,"""Hello Salmon"" ""Oh hi Dancing-Salmon"" ""How's your day Salmon-Dream"""
"As always, your delivery is spot on. Thank you so much. Peter",Positive,"As always, your delivery is spot on. Thank you so much. Peter",as always your delivery is spot on thank you so much peter,"As always, your delivery is spot on. Thank you so much. Peter"
It's not a vaccine; it's a therapeutic gene therapy treatment.,Neutral,It's not a vaccine; it's a therapeutic gene therapy treatment.,it not vaccine it therapeutic gene therapy treatment,It's not a vaccine; it's a therapeutic gene therapy treatment.
"Mr Navin Reddy, I love the way you explained the concept of Scrum. I am from different field studying for my PMP",Positive,"Mr Navin Reddy, I love the way you explained the concept of Scrum. I am from different field studying for my PMP",mr navin reddy love the way you explained the concept of scrum am from different field studying for my pmp,"Mr Navin Reddy, I love the way you explained the concept of Scrum. I am from different field studying for my PMP"
Love how cops will try & tell u yo relax as if thats gonna happen and then pull a gun on them but wont shoot,Negative,Love how cops will try & tell u yo relax as if thats gonna happen and then pull a gun on them but wont shoot,love how cops will try tell yo relax as if thats gonna happen and then pull gun on them but wont shoot,Love how cops will try & tell u yo relax as if thats gonna happen and then pull a gun on them but wont shoot
"Could you please create a new video for setting up Django? Because while the project file gets created, the command `django-admin startproject mysite` fails to run and throws an error that Django is not an internal or external path, even after I set up the path.",Negative,"Could you please create a new video for setting up Django? Because while the project file gets created, the command `django-admin startproject mysite` fails to run and throws an error that Django is not an internal or external path, even after I set up the path.",could you please create new video for setting up django because while the project file gets created the command django admin startproject mysite fails to run and throws an error that django is not an internal or external path even after set up the path,"Could you please create a new video for setting up Django? Because while the project file gets created, the command `django-admin startproject mysite` fails to run and throws an error that Django is not an internal or external path, even after I set up the path."
