text,label
"Seriously, you would become the main course for Christmas dinner. 😭",Neutral
That’s actually really good,Positive
Me and my btother we will defent our selfs,Positive
That is one RADICAL steering setup!!! TOTALY BONKERS… Love Fiolas desire to progress even to this day… what an athlete!😎🤙🏽,Positive
"Lolz at the host commentary that L'oreal piece isn't about telling you what to buy, but what not to buy (from L'oreal portfolio). And then conclude with she's going to buy retinol... What?",Negative
This would have been helpful for a computer science project I was working on seven months ago 😂,Positive
a little to basic. why can't i inherit classes when the order is switched?,Negative
Tom’s “oh boy…” truly shows how chaotic sonic is,Neutral
What about wasted water?,Neutral
"Elon can get away with almost anything, but not when it comes to video games. Gamers will always call out that kind of stuff.",Neutral
The dude unintentionally brought back childhood trauma from the movie The Neverending Story.,Negative
Another great video. Lovely Rolls Royce. Great presentation by everyone. Absolutely love the Autoalex multiverse.,Positive
whats the name of the movie/show ?,Neutral
The will of The People will be heard eventually - its just a matter of how much damage Turdeau wants to do to the country first.,Negative
"It’s sad, seems like Tony and the old man really hit it off. Sometimes you just meet people you not only click with, but you have surprisingly a lot of respect for. One of the real good ones.",Positive
We live in dystopia!,Negative
Can i use this with Vue.js?,Neutral
How can she take the broach back and then lie about it like that....LMFAO,Negative
Thank you mam. Really best video,Positive
"He started off so smug, Julia slapped that right off his face.",Negative
Bros took “uptown downtown” too literally.,Neutral
This is too difficult D: I kindaaaa understood the stuff up to 2.5 and now this :<,Negative
Yes❤❤❤❤😊😊😊,Positive
"Yeah, I mean. It's funny here, but no one's that stupid.And this isn't real",Negative
"Fun Fact: As a passionate Football ⚽️ enthusiast, I recall that in 2010, after their team's defeat, North Korean television didn't broadcast the loss. Instead, they fabricated stories of other teams losing by scores of 7-0 and 11-0, falsely claiming that Portugal won the World Cup. Therefore, according to North Korean media, Portugal emerged victorious in the World Cup that year.",Neutral
I'm a fan of the British accent.,Positive
You sound somewhat like Daily dose of internet.,Positive
Really wanted this video and you have maded it . Thank you ♥️,Positive
But datatype toh int tha aur printf mein string toh error ana chaiye na,Neutral
Would love to see more of this,Positive
It’s destructive. Single life is better than the feeling of being unwanted and neglected.,Negative
She is a youtuber❤,Positive
"Hi mosh, Can you please tell me the theme name, Thank you",Neutral
"I am so very proud of these two brave and strong women who are very articulate and eloquent in their message. They have the true American spirit, and we need to give people like these our full support whether you are Hispanic or Latin or not. I am neither, but I love brave people like these women who stand up for the right things in life and are proud of their country. They want to stop bad things happening to our country and make it a great place to live and raise their children. They know how the policies of the Democrats can hurt our country because they have either run away from countries that had those policies or have parents and grandparents who did. I wish them the best and look forward to them being members in our congress very soon.",Positive
"Thank you for the video, really well done. Although, I must say for Retool, I think it would be better to the admin panel by yourself. You will learn a lot by doing so. If someone is trying to build a web app with Django, it's impossible that they aren't programmers.",Positive
"regarding the initial run, the result is: 90.46 second run : 90 third run : 90",Neutral
Oa kayo sa Kasing laki ni Lolong,Neutral
Guy uses duct tape and blames product…,Negative
