text,label,text_raw,text_classical,text_transformer
"Hey Will, I have been a subscriber from the very beginning. I really appreciate all of your informative videos. I actually learned how to hook up a solar system thanks to you. I bought your book a couple years ago, and I'm so happy I did. It is filled with a wealth of knowledge. Thanks for everything buddy thumbs up",Positive,"Hey Will, I have been a subscriber from the very beginning. I really appreciate all of your informative videos. I actually learned how to hook up a solar system thanks to you. I bought your book a couple years ago, and I'm so happy I did. It is filled with a wealth of knowledge. Thanks for everything buddy 👍",hey will have been subscriber from the very beginning really appreciate all of your informative videos actually learned how to hook up solar system thanks to you bought your book couple years ago and so happy did it is filled with wealth of knowledge thanks for everything buddy thumbs up,"Hey Will, I have been a subscriber from the very beginning. I really appreciate all of your informative videos. I actually learned how to hook up a solar system thanks to you. I bought your book a couple years ago, and I'm so happy I did. It is filled with a wealth of knowledge. Thanks for everything buddy thumbs up"
Great journey party popper,Positive,Great journey 🎉,great journey party popper,Great journey party popper
Yhen wot do wifi headfones do,Neutral,Yhen wot do wifi headfones do,yhen wot do wifi headfones do,Yhen wot do wifi headfones do
"It's easy to log in to YouTube, but there isn't an option to log out.",Negative,"It's easy to log in to YouTube, but there isn't an option to log out.",it easy to log in to youtube but there isn an option to log out,"It's easy to log in to YouTube, but there isn't an option to log out."
please share this code,Neutral,please share this code,please share this code,please share this code
first 15 minutes and its validating how much I actually know how to code. so much new info too! thank you very much!,Positive,first 15 minutes and its validating how much I actually know how to code. so much new info too! thank you very much!,first minutes and its validating how much actually know how to code so much new info too thank you very much,first 15 minutes and its validating how much I actually know how to code. so much new info too! thank you very much!
finest video i've ever encountered on tailwind,Positive,finest video i've ever encountered on tailwind,finest video ve ever encountered on tailwind,finest video i've ever encountered on tailwind
That's 7 not 11,Negative,That's 7 not 11,that not,That's 7 not 11
"People like this are amazing, posting incredible tutorials for free. Bless you man.",Positive,"People like this are amazing, posting incredible tutorials for free. Bless you man.",people like this are amazing posting incredible tutorials for free bless you man,"People like this are amazing, posting incredible tutorials for free. Bless you man."
Eddie being a true Mexican,Neutral,Eddie being a true Mexican,eddie being true mexican,Eddie being a true Mexican
That's the 2nd time you DQ'd Dunkin and it's the same item as the first time you did face with tears of joy,Neutral,That's the 2nd time you DQ'd Dunkin and it's the same item as the first time you did 😂,that the nd time you dq dunkin and it the same item as the first time you did face with tears of joy,That's the 2nd time you DQ'd Dunkin and it's the same item as the first time you did face with tears of joy
Joe rogan is a fool,Negative,Joe rogan is a fool,joe rogan is fool,Joe rogan is a fool
thank u so much sir,Positive,thank u so much sir,thank so much sir,thank u so much sir
