text,silver_label,silver_confidence,silver_probs,source_label,agreement
"Seriously, you would become the main course for Christmas dinner. 😭",Negative,0.5616,"{""Negative"": 0.5616, ""Neutral"": 0.2472, ""Positive"": 0.1912}",Negative,yes
That’s actually really good,Positive,0.9255,"{""Negative"": 0.0177, ""Neutral"": 0.0568, ""Positive"": 0.9255}",Positive,yes
Me and my btother we will defent our selfs,Neutral,0.4675,"{""Negative"": 0.1453, ""Neutral"": 0.4675, ""Positive"": 0.3872}",Neutral,yes
That is one RADICAL steering setup!!! TOTALY BONKERS… Love Fiolas desire to progress even to this day… what an athlete!😎🤙🏽,Positive,0.6363,"{""Negative"": 0.1713, ""Neutral"": 0.1925, ""Positive"": 0.6363}",Positive,yes
"Lolz at the host commentary that L'oreal piece isn't about telling you what to buy, but what not to buy (from L'oreal portfolio). And then conclude with she's going to buy retinol... What?",Negative,0.4954,"{""Negative"": 0.4954, ""Neutral"": 0.4569, ""Positive"": 0.0476}",Neutral,no
This would have been helpful for a computer science project I was working on seven months ago 😂,Neutral,0.5412,"{""Negative"": 0.3029, ""Neutral"": 0.5412, ""Positive"": 0.1558}",Neutral,yes
a little to basic. why can't i inherit classes when the order is switched?,Neutral,0.6665,"{""Negative"": 0.2588, ""Neutral"": 0.6665, ""Positive"": 0.0747}",Negative,no
Tom’s “oh boy…” truly shows how chaotic sonic is,Positive,0.5802,"{""Negative"": 0.2687, ""Neutral"": 0.1511, ""Positive"": 0.5802}",Neutral,no
What about wasted water?,Negative,0.6032,"{""Negative"": 0.6032, ""Neutral"": 0.3955, ""Positive"": 0.0013}",Neutral,no
"Elon can get away with almost anything, but not when it comes to video games. Gamers will always call out that kind of stuff.",Positive,0.4339,"{""Negative"": 0.2935, ""Neutral"": 0.2726, ""Positive"": 0.4339}",Negative,no
The dude unintentionally brought back childhood trauma from the movie The Neverending Story.,Neutral,0.5464,"{""Negative"": 0.2325, ""Neutral"": 0.5464, ""Positive"": 0.2212}",Neutral,yes
Another great video. Lovely Rolls Royce. Great presentation by everyone. Absolutely love the Autoalex multiverse.,Positive,0.9269,"{""Negative"": 0.0074, ""Neutral"": 0.0657, ""Positive"": 0.9269}",Positive,yes
whats the name of the movie/show ?,Neutral,0.9332,"{""Negative"": 0.0603, ""Neutral"": 0.9332, ""Positive"": 0.0065}",Neutral,yes
The will of The People will be heard eventually - its just a matter of how much damage Turdeau wants to do to the country first.,Neutral,0.5788,"{""Negative"": 0.279, ""Neutral"": 0.5788, ""Positive"": 0.1422}",Negative,no
"It’s sad, seems like Tony and the old man really hit it off. Sometimes you just meet people you not only click with, but you have surprisingly a lot of respect for. One of the real good ones.",Positive,0.7506,"{""Negative"": 0.19, ""Neutral"": 0.0594, ""Positive"": 0.7506}",Positive,yes
We live in dystopia!,Neutral,0.6156,"{""Negative"": 0.2459, ""Neutral"": 0.6156, ""Positive"": 0.1386}",Negative,no
