text,in_train,in_val,in_test,split_membership
"Seriously, you would become the main course for Christmas dinner. 😭",True,False,False,train
That’s actually really good,False,False,False,none
Me and my btother we will defent our selfs,True,False,False,train
That is one RADICAL steering setup!!! TOTALY BONKERS… Love Fiolas desire to progress even to this day… what an athlete!😎🤙🏽,True,False,False,train
"Lolz at the host commentary that L'oreal piece isn't about telling you what to buy, but what not to buy (from L'oreal portfolio). And then conclude with she's going to buy retinol... What?",False,False,False,none
This would have been helpful for a computer science project I was working on seven months ago 😂,True,False,False,train
a little to basic. why can't i inherit classes when the order is switched?,False,False,False,none
Tom’s “oh boy…” truly shows how chaotic sonic is,False,False,False,none
What about wasted water?,True,False,False,train
"Elon can get away with almost anything, but not when it comes to video games. Gamers will always call out that kind of stuff.",False,True,False,val
The dude unintentionally brought back childhood trauma from the movie The Neverending Story.,False,True,False,val
Another great video. Lovely Rolls Royce. Great presentation by everyone. Absolutely love the Autoalex multiverse.,False,False,True,test
whats the name of the movie/show ?,False,False,False,none
The will of The People will be heard eventually - its just a matter of how much damage Turdeau wants to do to the country first.,True,False,False,train
"It’s sad, seems like Tony and the old man really hit it off. Sometimes you just meet people you not only click with, but you have surprisingly a lot of respect for. One of the real good ones.",False,False,False,none
We live in dystopia!,True,False,False,train
Can i use this with Vue.js?,False,False,False,none
How can she take the broach back and then lie about it like that....LMFAO,False,False,False,none
Thank you mam. Really best video,True,False,False,train
"He started off so smug, Julia slapped that right off his face.",False,False,True,test
Bros took “uptown downtown” too literally.,False,True,False,val
This is too difficult D: I kindaaaa understood the stuff up to 2.5 and now this :<,True,False,False,train
Yes❤❤❤❤😊😊😊,True,False,False,train
"Yeah, I mean. It's funny here, but no one's that stupid.And this isn't real",False,False,False,none
"Fun Fact: As a passionate Football ⚽️ enthusiast, I recall that in 2010, after their team's defeat, North Korean television didn't broadcast the loss. Instead, they fabricated stories of other teams losing by scores of 7-0 and 11-0, falsely claiming that Portugal won the World Cup. Therefore, according to North Korean media, Portugal emerged victorious in the World Cup that year.",False,False,False,none
I'm a fan of the British accent.,False,False,False,none
You sound somewhat like Daily dose of internet.,True,False,False,train
Really wanted this video and you have maded it . Thank you ♥️,True,False,False,train
But datatype toh int tha aur printf mein string toh error ana chaiye na,True,False,False,train
Would love to see more of this,True,False,False,train
It’s destructive. Single life is better than the feeling of being unwanted and neglected.,False,False,False,none
She is a youtuber❤,True,False,False,train
"Hi mosh, Can you please tell me the theme name, Thank you",True,False,False,train
"I am so very proud of these two brave and strong women who are very articulate and eloquent in their message. They have the true American spirit, and we need to give people like these our full support whether you are Hispanic or Latin or not. I am neither, but I love brave people like these women who stand up for the right things in life and are proud of their country. They want to stop bad things happening to our country and make it a great place to live and raise their children. They know how the policies of the Democrats can hurt our country because they have either run away from countries that had those policies or have parents and grandparents who did. I wish them the best and look forward to them being members in our congress very soon.",True,False,False,train
"Thank you for the video, really well done. Although, I must say for Retool, I think it would be better to the admin panel by yourself. You will learn a lot by doing so. If someone is trying to build a web app with Django, it's impossible that they aren't programmers.",False,False,False,none
"regarding the initial run, the result is: 90.46 second run : 90 third run : 90",True,False,False,train
Oa kayo sa Kasing laki ni Lolong,False,False,False,none
Guy uses duct tape and blames product…,False,False,True,test
AS a fireman I can tell you what happened to those poor souls. With an explosion like that which I liken to a nuclear bomb or a volcanic eruption they would have been vaporized. Happily if you can call it that they never saw it coming and never knew it hit. May they rest in peace and may their families rest in knowing they were doing what they loved to do,False,False,True,test
He is also very handsome 🤍,True,False,False,train
"nice topic chosen wisely 👌🏻, I actually understood you about 70 percent but something is better than nothing.",False,False,True,test
Kid watched *'Taxi Driver'* 1 too many times 😂,True,False,False,train
I am from 2025,False,False,False,none
"As we know Trump tells a lot of lies, his knowledge of thus war us limited! Trumps mouth moves without any facts, just what sounds good to him! Trump is a Putin supporter, friend making Trump bias for Putin, or should I say Putin is one if Trumps heroes, once Trump is in full power as President you will see Trump throw his full support behind Putin!😢",False,True,False,val
Good video 🎉🎉 Thank you.,True,False,False,train
You way smarter than other mean looking lady. Thank you! Fox News! God Bless USA! Slava Ukraini!,False,True,False,val
Ok this is useful.,False,True,False,val
I love the look on Kat's face anytime Greg calls on her. 😆,False,False,False,none
I wish waffles were the subject after Black Lives Matter protests,False,True,False,val
Depends on the temp and amount of vapors whether it lights or not.,False,False,True,test
"The man prepared a top-tier, exquisite dish 💫😐😎💔😍💫😎😍😭🥺🥵👍😭😍😅😈😏😎🧢😡😋😡🤸😐💫😁🤮🥶😋🥲l",False,False,False,none
"Putting tariffs on Canadian goods, puts America second, not first.",True,False,False,train
Captain knuckles fr crazy shit,True,False,False,train
"We need real bikers, not some rich, spoiled kid.",True,False,False,train
"They are standing there filming, they should have run and removed those people, why are you so stupid?",False,False,True,test
"Mosh this is what i intuitively came up for removeLast method public void removeLast(){ if (isEmpty()){ throw new IllegalStateException(""cannot remove item from empty list""); } if (first==last){ first=last=null; return; } var i=first; while (i.next!=last){ i=i.next; } i.next=null; last=i; } Any reason why my code might not be optimal?",False,False,False,none
"i am a skinner, who's probably gonna skin again",False,False,False,none
"""AIGHT BET""",False,False,False,none
Finally I wrote my first React app. Thanks sir. Good tutorial and explanation.,True,False,False,train
I can’t believe they put the power button on the front 😂,False,False,False,none
"Never in my wildest dreams as a kid did I imagine I would live to see ninjas being accepted in America. But now... I can truly become... the great white American ninja, with the assistance of my brother Gobei and my best friend Curtis Jackson.",True,False,False,train
She even seems happy it's over,False,False,False,none
Speed really messed up he just embarrassed his self in front of Korean girls,False,True,False,val
*Don’t expect relationships to make you happy.* Make yourself happy!,False,False,False,none
"why can we do this? @classmethod def merge_k_sorted_list(cls, list_of_sorted_list): if not list_of_sorted_list: return while len(list_of_sorted_list) > 1: list_of_sorted_list.append(cls.merge_sorted_list(list_of_sorted_list.pop(), list_of_sorted_list.pop())) return list_of_sorted_list[0]",False,False,False,none
Llore viendo este video 🤧 gracias por existir MrBeast,False,False,False,none
That's what I would do and that's what my mom would have said,False,False,False,none
"Freedom of choice. As long as there is risk, there should be a choice. My body - my choice. Dr. Malone's speech in DC was awesome. globalcovidsummit",False,False,False,none
"Judge, those are the feelings of the majority of Americans... thanks for letting out for us, God bless you 🙏",False,False,True,test
Meadow was always hot asl,True,False,False,train
With the hair growth- Rogaine and Red Light… are they a lifelong sentence? Or once your hair starts growing you are good to go without them.,True,False,False,train
maa kasam mood sahi ho jata hai aapki javascript ki series padh ke🙏,False,False,False,none
No he won’t bro hell be in jail jo and wishing he didn’t do this shit,False,False,False,none
didi pls make a video on college freshers what to learn as side hustle and where do we get resources in detail,False,False,True,test
That dad wasn’t laughing he was crying,False,False,False,none
"What the heck?! Why did you move like that?! You got beat by Karen, dude, that's way worse!",False,False,False,none
"Thanks for the new course. However, one topic is still missing: video streaming. Could you please create another course on how to manage, sell, and authenticate video content on the web? I'm looking forward to it...",False,False,False,none
Bro that sound of your window scratch my Brain,False,False,True,test
Great job.. Please Start complete video series on node KS as back-end technology..,False,False,False,none
"You made a blindman see. Thanks, a 10^6 times!",False,True,False,val
Sir you are good Man ❤❤ love you ❤❤❤,True,False,False,train
Like a super Sunday game how do the teams match up against each other 🙄 absolute madness,False,False,True,test
"Giving poison before death, She filtering reality.",False,True,False,val
"Really like,like.",False,False,False,none
My brain:what is it saying? Also brain: BRAIN NEEDLE,False,False,False,none
I’m sad people on the media make jokes about this when there are family’s hiding in there basements right now because of stupid leaders,False,False,False,none
Sir you explain perfectly.Now I have decided to code on notebook.,False,False,False,none
"Loving this new format queen❤ especially with the new influx of people that will be coming to yt when tt closes, they love story times!! & this was amazing girlie, keep it up❤💃",False,True,False,val
You are idiots. They are a young country with young people. 70% of that country is Russian. Maybe talk about the 5 million that left the country once Zelensky was voted in. Fkn US wankers.,False,False,True,test
sHeS dOiNg tHe AOC. *flaps arms* IM DEAD. IMA DO THE AOC WHEN QUARANTINE IS OVER,True,False,False,train
I don't like that Xbox is copying them PlayStation commies,False,False,False,none
"We can not have this traitor in the white house for another 3 ,yrs",False,False,True,test
The moment I heard about Gina Carano being cancelled I hoped that Crowder would offer her a job and cheered when it happened!,False,False,True,test
I'm keen on learning more about a ServiceNow Crashcourse,False,False,False,none
Man this is some revelations type thing. Prayers to residents of California,False,True,False,val
"Free healthcare for all of california, doubling the population of canada with people who've never paid a dime of tax to the cdn government would bankrupt our country. About 90% of cdn taxes go to healthcare, so, that's nonsense.",False,False,False,none
They laughed 50 years ago when we couldn't fish in our own waters🤔🤔,False,False,False,none
"17:38 const {x,y,w,h} = this.boundary",False,False,False,none
Anyone in 2025 ?,False,False,False,none
"who writes characters like that? nobody would be this fucking rude to anyone, especially a kid.",True,False,False,train
"Brad please i really like all your works, could you make a course for PostgreSQL",False,False,True,test
"for 100k, these games won't run at 60 fps on ultra settings",False,False,False,none
Thank you so much for the great tutorial! Your explanations were very clear and easy to follow. Please create more videos with practical examples in React.js.,False,False,False,none
This ban on our freedom should be tested in a court of law.,False,True,False,val
"Мужик на мерсе все правильно сделал. После с каждого велосипедиста сдерёт штраф + моральный ущерб, а возможно нескольких закроет в тюрьме за пункт ""по Предварительному сговору""",False,False,False,none
"Sir, I am unable to configure VS Code on my PC... Should I consider using Webstorm instead???",True,False,False,train
"Everyone is around you when your partner dies, but then they go back to life and want you to be ok. Life goes on as it should. Your left not knowing what or how to feel and the fear is unexpected. I was relieved to hear you say this! When I feel sick, I am scared it’s something serious and no one will go to urgent care with me 2 years later I’m ready to talk about Greg because it doesn’t hurt so much, but I can tell it makes others uncomfortable. I’m scared I will forget him, and I can’t remember the details of his face and the sound of his voice. Meanwhile, I work, take care of myself, my house, my animals and I am a friend to others. It’s not that I am stuck. People don’t get it.",False,False,False,none
You are cyco time for the rubber room wow you and hunter must be buddys,True,False,False,train
How on Earth would this make code-sharing easier? The mixins for the options API seemed pretty darned convenient...,False,False,False,none
"""The couple unknowingly breathed in the gas."" 😂😂😂",True,False,False,train
Look at the Mayors race in Chicago~,False,True,False,val
These animals are so gorgeous...,True,False,False,train
2025 has started off crazy. Our thoughts and prayers are for ALL of the people suffering from these fires.,False,False,False,none
"Horizon won't be successful if they make it like Forbidden West. They went overboard with the gender neutrality. The women are either equally as strong or stronger than the male warriors. It might work in a video game, but it will look ridiculous in live action. You'll see a 6'5"" 250lb guy getting beaten not by Aloy, but by some 5'3"" 100lb random tribal female. This will make people laugh and ruin the immersion.",False,False,False,none
6:44 7th reason why luis hates noobs is because he’s *cool*,False,False,False,none
resigning onana yeah right 😂😂😂😂,True,False,False,train
Instead of just talking the so called powerful NATO why can't they take action on Russia,False,False,False,none
"American workers HAVE no rights. No paid 28 days leave, No paid unlimited sick leave AND NO PAID PARENTAL LEAVE FOR 3 MONTHS WHICH INCLUDES THE HUSBAND",True,False,False,train
U dead.....,False,False,False,none
"Thanks but i am little confused about what will be the 3 rd parameter that browser takes in app.use((req,res,next) [i mean next parameter ]",False,False,False,none
It's a beaver probably,False,False,False,none
A great and simple explanation of var vs. let. Thank you Mosh.,True,False,False,train
"Recently I’d been interviewed at google, after 2.5 months of preparation and interviews, I’ve been told position is frozen. I was crushed, I cracked every single interview and but in the end it didn’t work out. It was hard to come back to daily routine knowing that you had it for a day then you lost everything. I’ve learned lot from your videos, and I always find them very relatable. Even hiring freeze. I’ll try again and hope this time I’ll make it. Thank you for everything.",False,False,False,none
"It's quite annoying that when I invoke a function, it doesn't automatically fill in the parentheses.",False,False,False,none
I passed this exam over the weekend! This was a fantastic course and I thank you for the help!,False,False,True,test
Sir I am from Bangladesh. I have already completed Photoshop course. Salute sir,False,True,False,val
ashten was SO falling for lexi,True,False,False,train
Are they brothers?,True,False,False,train
That would be a big NOT GONNA HAPPEN !,False,False,True,test
"""i'm a villain, not a monster"" Nelson.",False,False,False,none
Elon got the money and the fame. What he didn't get til Rogan exalted him was a pseudo 'cool kid' status. And he clearly longed for that,False,False,False,none
"The reason why Elon Musk buys Twitter is because the stock market is now very overvalued and close to crash in a couple of months due to hike rates, debt, and the crisis generated by China, Ukraine, Russia. Not only does the stock market can crash, the dollar and bitcoin can crash as well. So, Elon sells part of his shares of Tesla and others (now overvalued), buys Twitter (excuse for not saying that the stock market is going to crash), privatizes Twitter, to avoid the Twitter stock price to crash, and in this way Elon protects its wealth. Then a few years later when the market stabilizes again, Twitter goes again public, and Elon recovers his wealth. Master play, Twitter is just a good excuse to make cash with his investments without making a lot of noise.",True,False,False,train
Please stop doing these things already,True,False,False,train
they missed their chance to call the module QtPy,True,False,False,train
"Hey Shaun, thanks a bunch for the series! It's really boosting my understanding. What exactly sets Hive apart from Firebase? Also, is it possible to use Firebase as a local database?",False,False,False,none
TEAM 50-60 ✌️ 🇯🇲,False,True,False,val
Zach is a child .. someone who doesn’t get their way and throws a tantrum pretty much . Everyone wants to be a victim 😪,False,False,False,none
i’ve had to double my smoke intake since this disastrous election,False,False,False,none
I have been waiting for this missing piece!!! You are so passionate in delivery!!! Thanks a million MAX!!! ONE LOVE JAH RASTER!!!,False,False,True,test
The Russians cannot make drones because they cannot make the various items making up a drone. Everything was imported from the West.,True,False,False,train
"Really nice!! For someone who has to start from basics, this is going to be a great help!!",True,False,False,train
Interest on java becomes loving java and getting a job as a java developer only happens when I watch your tutorials these will actually fascinated and I agree I'm an alien 😅😅,False,False,False,none
Thanks for the message at the end. You actually made me feel better.,True,False,False,train
Bet it will take till day 22/23,True,False,False,train
Aspirin....at least take aspirin..to stay alive.,False,False,False,none
Has anyone taken notes?,True,False,False,train
God bless the ranchers who haven't forgotten their past 😢😢,False,False,False,none
